Data Extract Date,WorkOrderKey,Work Order Description,Work Type,Work Criticality,EquipmentRef,Work Order Status,Condition For Work,Status Date,Target Finish Date,Schedule Start Date,Schedule Finish Date,Work Order Priority,Department,Discipline,Work Order Remaining Hours
"Sunday, March 31, 2019",302,Work Order Description - 302 - CM,CM,4.00,215331,WSCHD,NORM-OPS,2/17/2012,9/5/2019,6/8/2019,6/9/2019,2,MAINTENANCE,MECHANICAL,8
"Sunday, March 31, 2019",305,Work Order Description - 305 - CM,CM,4.00,500736,WSCHD,SYS-ISOL,12/27/2012,2/23/2019,3/6/2021,3/7/2021,3,MAINTENANCE,MECHANICAL,18
"Sunday, March 31, 2019",307,Work Order Description - 307 - CM,CM,4.00,361924,WSCHD,TPS,3/22/2016,1/9/2019,5/24/2019,5/29/2019,4,MAINTENANCE,MECHANICAL,104
"Sunday, March 31, 2019",308,Work Order Description - 308 - CM,CM,4.00,361925,WSCHD,TPS,8/27/2015,3/6/2019,5/24/2019,5/25/2019,4,MAINTENANCE,MECHANICAL,18
"Sunday, March 31, 2019",314,Work Order Description - 314 - CM,CM,4.00,57534,WSCHD,NORM-OPS,4/13/2012,3/14/2019,4/20/2019,4/20/2019,2,MAINTENANCE,CONSTRUCTION,1
"Sunday, March 31, 2019",322,Work Order Description - 322 - CM,CM,3.00,678463,WSCHD,NORM-OPS,3/8/2012,6/22/2019,5/2/2020,5/3/2020,2,MAINTENANCE,CONSTRUCTION,26
"Sunday, March 31, 2019",345,Work Order Description - 345 - CM,CM,4.00,480105,WSCHD,NORM-OPS,4/15/2012,8/16/2019,8/16/2019,8/16/2019,2,MAINTENANCE,MECHANICAL,1
"Sunday, March 31, 2019",353,Work Order Description - 353 - CM,CM,3.00,138449,WSCHD,SYS-ISOL,5/7/2012,5/5/2019,5/2/2020,5/3/2020,2,MAINTENANCE,INSTRUMENTS,1
"Sunday, March 31, 2019",358,Work Order Description - 358 - CM,CM,3.00,545260,WSCHD,TPS,8/27/2015,8/15/2019,7/24/2019,7/24/2019,2,MAINTENANCE,MECHANICAL,12
"Sunday, March 31, 2019",361,Work Order Description - 361 - CM,CM,3.00,545222,WSCHD,TPS,8/27/2015,7/24/2019,7/24/2019,7/24/2019,2,MAINTENANCE,MECHANICAL,12
"Sunday, March 31, 2019",372,Work Order Description - 372 - CM,CM,4.00,311601,SCHD,TPS,5/31/2018,4/10/2019,7/13/2019,7/13/2019,2,MAINTENANCE,INSTRUMENTS,8
"Sunday, March 31, 2019",373,Work Order Description - 373 - CM,CM,3.00,520152,WSCHD,NORM-OPS,6/23/2017,5/29/2019,7/27/2019,7/31/2019,4,MAINTENANCE,MECHANICAL,56
"Sunday, March 31, 2019",382,Work Order Description - 382 - CM,CM,4.00,418023,WSCHD,NORM-OPS,7/21/2017,5/8/2019,5/4/2019,5/4/2019,2,MAINTENANCE,MECHANICAL,46
"Sunday, March 31, 2019",389,Work Order Description - 389 - CM,CM,4.00,471536,WSCHD,NORM-OPS,5/27/2012,1/3/2019,5/25/2019,5/27/2019,2,MAINTENANCE,INSTRUMENTS,15
"Sunday, March 31, 2019",394,Work Order Description - 394 - PM,PM,4.00,401355,SCHD,EQUIP-ISOL,6/21/2018,5/6/2019,5/4/2019,5/4/2019,2,MAINTENANCE,INSTRUMENTS,4
"Sunday, March 31, 2019",396,Work Order Description - 396 - PM,PM,4.00,677399,WSCHD,EQUIP-ISOL,6/1/2012,12/18/2018,5/4/2019,5/6/2019,3,INTEGRITY,MECHANICAL,48
"Sunday, March 31, 2019",415,Work Order Description - 415 - CM,CM,3.00,363635,WSCHD,TPS,8/27/2015,1/12/2019,3/7/2020,3/9/2020,2,INTEGRITY,CONSTRUCTION,28
"Sunday, March 31, 2019",418,Work Order Description - 418 - BR,BR,4.00,501158,WSCHD,SUBSYS-ISOL,8/27/2015,9/2/2019,9/7/2019,9/7/2019,2,MAINTENANCE,MECHANICAL,14
"Sunday, March 31, 2019",456,Work Order Description - 456 - CM,CM,4.00,259083,SCHD,NORM-OPS,7/18/2018,6/23/2019,2/15/2020,2/15/2020,3,MAINTENANCE,INSTRUMENTS,54
"Sunday, March 31, 2019",465,Work Order Description - 465 - CM,CM,4.00,448089,WPLAN,NORM-OPS,3/6/2019,2/24/2021,1/12/2021,1/12/2021,4,INTEGRITY,FABRIC,42
"Sunday, March 31, 2019",471,Work Order Description - 471 - CM,CM,3.00,479579,WSCHD,NORM-OPS,3/25/2019,7/31/2019,6/1/2019,6/1/2019,4,INTEGRITY,CONSTRUCTION,147
"Sunday, March 31, 2019",474,Work Order Description - 474 - CM,CM,4.00,495496,WSCHD,SYS-ISOL,9/3/2012,2/24/2019,5/2/2020,5/6/2020,2,MAINTENANCE,MECHANICAL,60
"Sunday, March 31, 2019",479,Work Order Description - 479 - CM,CM,3.00,411140,WSCHD,SYS-ISOL,9/9/2012,2/9/2019,6/1/2019,6/1/2019,4,MAINTENANCE,INSTRUMENTS,1
"Sunday, March 31, 2019",494,Work Order Description - 494 - CM,CM,4.00,272739,WSCHD,NORM-OPS,9/30/2012,1/30/2019,4/13/2019,4/15/2019,3,MAINTENANCE,MECHANICAL,15
"Sunday, March 31, 2019",504,Work Order Description - 504 - CM,CM,3.00,499512,WSCHD,TPS,6/21/2018,2/2/2019,5/2/2020,5/5/2020,3,MAINTENANCE,MECHANICAL,45
"Sunday, March 31, 2019",509,Work Order Description - 509 - PM,PM,4.00,261853,WSCHD,EQUIP-ISOL,10/14/2015,5/19/2019,7/27/2019,7/27/2019,2,MAINTENANCE,INSTRUMENTS,0
"Sunday, March 31, 2019",513,Work Order Description - 513 - CM,CM,4.00,363627,WSCHD,NORM-OPS,10/11/2012,7/4/2019,8/31/2019,9/2/2019,2,INTEGRITY,INSTRUMENTS,43
"Sunday, March 31, 2019",514,Work Order Description - 514 - CM,CM,4.00,51688,WSCHD,NORM-OPS,10/15/2012,2/27/2019,8/31/2019,9/3/2019,2,MAINTENANCE,INSTRUMENTS,52
"Sunday, March 31, 2019",556,Work Order Description - 556 - CM,CM,3.00,405099,WSCHD,SYS-ISOL,11/14/2012,5/15/2019,5/4/2019,5/5/2019,2,MAINTENANCE,INSTRUMENTS,7
"Sunday, March 31, 2019",586,Work Order Description - 586 - CM,CM,3.00,326114,WSCHD,TPS,6/25/2018,8/3/2019,5/2/2020,5/3/2020,3,MAINTENANCE,MECHANICAL,7
"Sunday, March 31, 2019",587,Work Order Description - 587 - CM,CM,4.00,33824,WSCHD,TPS,6/10/2015,5/29/2019,5/2/2020,5/2/2020,4,MAINTENANCE,MECHANICAL,8
"Sunday, March 31, 2019",588,Work Order Description - 588 - CM,CM,4.00,322272,WSCHD,TPS,6/10/2015,1/26/2019,5/2/2020,5/2/2020,4,MAINTENANCE,MECHANICAL,8
"Sunday, March 31, 2019",589,Work Order Description - 589 - CM,CM,4.00,503262,WSCHD,TPS,6/10/2015,12/23/2019,5/2/2020,5/2/2020,4,MAINTENANCE,MECHANICAL,8
"Sunday, March 31, 2019",591,Work Order Description - 591 - PM,PM,3.00,360533,WSCHD,PACK-ISOL,11/27/2012,3/7/2019,12/28/2019,12/28/2019,2,MAINTENANCE,INSTRUMENTS,2
"Sunday, March 31, 2019",592,Work Order Description - 592 - PM,PM,3.00,53288,WSCHD,PACK-ISOL,11/27/2012,12/14/2019,12/28/2019,12/28/2019,2,MAINTENANCE,INSTRUMENTS,2
"Sunday, March 31, 2019",597,Work Order Description - 597 - PM,PM,3.00,53614,WSCHD,PACK-ISOL,11/27/2012,7/7/2019,12/28/2019,12/28/2019,2,MAINTENANCE,INSTRUMENTS,1
"Sunday, March 31, 2019",598,Work Order Description - 598 - PM,PM,3.00,360304,WSCHD,PACK-ISOL,11/27/2012,11/5/2019,12/28/2019,12/28/2019,2,MAINTENANCE,INSTRUMENTS,8
"Sunday, March 31, 2019",599,Work Order Description - 599 - CM,CM,4.00,17540,WSCHD,NORM-OPS,11/27/2012,4/15/2019,4/27/2019,5/1/2019,3,MAINTENANCE,CONSTRUCTION,68
"Sunday, March 31, 2019",604,Work Order Description - 604 - CM,CM,4.00,26917,SCHD,TPS,9/6/2018,6/24/2019,7/13/2019,7/13/2019,2,MAINTENANCE,MECHANICAL,104
"Sunday, March 31, 2019",626,Work Order Description - 626 - CM,CM,4.00,57928,WSCHD,NORM-OPS,12/10/2012,4/1/2020,9/30/2020,10/1/2020,4,MAINTENANCE,INSTRUMENTS,10
"Sunday, March 31, 2019",628,Work Order Description - 628 - CM,CM,4.00,403817,SCHD,NORM-OPS,6/21/2018,11/15/2019,6/30/2019,6/30/2019,4,INTEGRITY,CONSTRUCTION,21
"Sunday, March 31, 2019",653,Work Order Description - 653 - CM,CM,4.00,324569,WSCHD,TPS,6/7/2018,1/24/2020,5/3/2020,5/4/2020,2,MAINTENANCE,MECHANICAL,14
"Sunday, March 31, 2019",654,Work Order Description - 654 - CM,CM,3.00,51662,WSCHD,NORM-OPS,6/23/2017,7/1/2019,12/28/2019,12/30/2019,3,MAINTENANCE,INSTRUMENTS,30
"Sunday, March 31, 2019",655,Work Order Description - 655 - CM,CM,3.00,545266,WSCHD,TPS,8/5/2018,2/7/2019,5/2/2020,5/6/2020,3,MAINTENANCE,INSTRUMENTS,18
"Sunday, March 31, 2019",680,Work Order Description - 680 - CM,CM,1.00,51662,WPLAN,SYS-ISOL,6/13/2017,4/24/2019,11/2/2019,11/2/2019,3,MAINTENANCE,CONSTRUCTION,14
"Sunday, March 31, 2019",682,Work Order Description - 682 - CM,CM,1.00,545266,WPLAN,SYS-ISOL,6/13/2017,4/24/2019,7/27/2019,7/28/2019,3,MAINTENANCE,CONSTRUCTION,21
"Sunday, March 31, 2019",683,Work Order Description - 683 - CM,CM,4.00,491044,WSCHD,TPS,6/15/2018,4/12/2019,5/2/2020,5/2/2020,2,MAINTENANCE,INSTRUMENTS,7
"Sunday, March 31, 2019",794,Work Order Description - 794 - CM,CM,3.00,657409,WSCHD,NORM-OPS,2/2/2013,3/12/2019,11/2/2019,11/2/2019,2,MAINTENANCE,INSTRUMENTS,10
"Sunday, March 31, 2019",798,Work Order Description - 798 - CM,CM,3.00,51561,WSCHD,NORM-OPS,1/30/2013,4/1/2020,12/21/2019,12/23/2019,2,MAINTENANCE,MECHANICAL,52
"Sunday, March 31, 2019",804,Work Order Description - 804 - CM,CM,4.00,305371,WSCHD,NORM-OPS,2/4/2013,7/26/2019,9/28/2019,9/28/2019,4,MAINTENANCE,INSTRUMENTS,14
"Sunday, March 31, 2019",809,Work Order Description - 809 - CM,CM,3.00,319242,WSCHD,TPS,2/4/2013,10/19/2019,12/1/2020,12/1/2020,3,MAINTENANCE,INSTRUMENTS,8
"Sunday, March 31, 2019",813,Work Order Description - 813 - CM,CM,2.00,681466,WSCHD,NORM-OPS,2/7/2013,8/19/2019,5/4/2019,5/7/2019,2,MAINTENANCE,INSTRUMENTS,24
"Sunday, March 31, 2019",814,Work Order Description - 814 - CM,CM,2.00,681467,WSCHD,NORM-OPS,2/7/2013,9/21/2019,5/4/2019,5/7/2019,2,MAINTENANCE,INSTRUMENTS,24
"Sunday, March 31, 2019",815,Work Order Description - 815 - CM,CM,2.00,356483,WSCHD,NORM-OPS,2/7/2013,9/22/2019,5/4/2019,5/7/2019,2,MAINTENANCE,INSTRUMENTS,24
"Sunday, March 31, 2019",816,Work Order Description - 816 - CM,CM,2.00,681468,WSCHD,NORM-OPS,2/7/2013,6/27/2019,5/4/2019,5/7/2019,2,MAINTENANCE,INSTRUMENTS,24
"Sunday, March 31, 2019",817,Work Order Description - 817 - CM,CM,2.00,671335,WSCHD,NORM-OPS,2/7/2013,5/9/2019,5/4/2019,5/7/2019,2,MAINTENANCE,INSTRUMENTS,24
"Sunday, March 31, 2019",841,Work Order Description - 841 - CM,CM,4.00,492026,WSCHD,NORM-OPS,9/29/2013,1/3/2019,5/4/2019,5/4/2019,2,MAINTENANCE,MECHANICAL,3
"Sunday, March 31, 2019",843,Work Order Description - 843 - CM,CM,4.00,478268,SCHD,NORM-OPS,9/6/2018,1/14/2020,4/4/2020,4/4/2020,4,INTEGRITY,MECHANICAL,11
"Sunday, March 31, 2019",847,Work Order Description - 847 - PSPM,PSPM,1.00,399838,WSCHD,EQUIP-ISOL,10/15/2015,5/16/2019,9/16/2019,9/16/2019,1,INTEGRITY,CONSTRUCTION,0
"Sunday, March 31, 2019",848,Work Order Description - 848 - PSPM,PSPM,1.00,260931,WSCHD,EQUIP-ISOL,10/15/2015,9/1/2019,6/1/2019,6/1/2019,1,INTEGRITY,CONSTRUCTION,0
"Sunday, March 31, 2019",849,Work Order Description - 849 - PSPM,PSPM,1.00,399546,WSCHD,EQUIP-ISOL,10/15/2015,9/1/2019,6/1/2019,6/1/2019,1,INTEGRITY,CONSTRUCTION,0
"Sunday, March 31, 2019",850,Work Order Description - 850 - PSPM,PSPM,1.00,248093,WSCHD,EQUIP-ISOL,10/15/2015,7/20/2019,6/1/2019,6/1/2019,1,INTEGRITY,CONSTRUCTION,0
"Sunday, March 31, 2019",851,Work Order Description - 851 - PSPM,PSPM,1.00,361099,WSCHD,EQUIP-ISOL,10/15/2015,7/21/2019,6/1/2019,6/1/2019,1,INTEGRITY,CONSTRUCTION,0
"Sunday, March 31, 2019",852,Work Order Description - 852 - PSPM,PSPM,1.00,248094,WSCHD,EQUIP-ISOL,10/15/2015,11/1/2022,9/26/2020,9/26/2020,1,INTEGRITY,CONSTRUCTION,0
"Sunday, March 31, 2019",865,Work Order Description - 865 - CM,CM,4.00,478267,SCHD,NORM-OPS,9/6/2018,3/31/2019,4/4/2020,4/4/2020,4,INTEGRITY,MECHANICAL,11
"Sunday, March 31, 2019",866,Work Order Description - 866 - CM,CM,4.00,551215,SCHD,NORM-OPS,9/6/2018,1/28/2019,4/4/2020,4/4/2020,4,INTEGRITY,MECHANICAL,11
"Sunday, March 31, 2019",878,Work Order Description - 878 - CM,CM,3.00,471062,WSCHD,NORM-OPS,6/23/2017,7/1/2019,4/4/2020,4/5/2020,3,MAINTENANCE,INSTRUMENTS,16
"Sunday, March 31, 2019",879,Work Order Description - 879 - CM,CM,3.00,418397,WSCHD,NORM-OPS,3/5/2013,12/6/2019,4/27/2019,4/28/2019,3,MAINTENANCE,INSTRUMENTS,16
"Sunday, March 31, 2019",882,Work Order Description - 882 - CM,CM,4.00,245666,WSCHD,NORM-OPS,3/6/2013,10/1/2019,4/13/2019,4/13/2019,4,MAINTENANCE,INSTRUMENTS,7
"Sunday, March 31, 2019",884,Work Order Description - 884 - CM,CM,4.00,361881,WSCHD,NORM-OPS,3/7/2013,3/26/2019,4/13/2019,4/13/2019,2,MAINTENANCE,INSTRUMENTS,8
"Sunday, March 31, 2019",893,Work Order Description - 893 - CM,CM,3.00,51662,WSCHD,NORM-OPS,5/28/2015,7/1/2019,8/5/2019,8/5/2019,3,MAINTENANCE,MECHANICAL,3
"Sunday, March 31, 2019",897,Work Order Description - 897 - BR,BR,4.00,418145,WSCHD,NORM-OPS,6/22/2017,5/5/2019,5/25/2019,5/27/2019,3,MAINTENANCE,CONSTRUCTION,22
"Sunday, March 31, 2019",912,Work Order Description - 912 - CM,CM,3.00,215916,SCHD,NORM-OPS,7/18/2018,1/16/2020,5/4/2019,5/4/2019,2,MAINTENANCE,MECHANICAL,36
"Sunday, March 31, 2019",941,Work Order Description - 941 - CM,CM,3.00,654921,WPLAN,TPS,7/26/2017,8/10/2019,5/2/2020,5/3/2020,2,MAINTENANCE,MECHANICAL,14
"Sunday, March 31, 2019",942,Work Order Description - 942 - CM,CM,3.00,122809,WPLAN,TPS,7/26/2017,6/27/2019,5/2/2020,5/3/2020,2,MAINTENANCE,MECHANICAL,14
"Sunday, March 31, 2019",943,Work Order Description - 943 - CM,CM,4.00,450548,SCHD,NORM-OPS,11/13/2018,8/5/2019,6/30/2019,7/2/2019,4,INTEGRITY,CONSTRUCTION,1
"Sunday, March 31, 2019",944,Work Order Description - 944 - CM,CM,3.00,293804,WPLAN,TPS,7/26/2017,10/18/2019,5/2/2020,5/2/2020,2,MAINTENANCE,MECHANICAL,5
"Sunday, March 31, 2019",952,Work Order Description - 952 - CM,CM,3.00,546702,WSCHD,TPS,6/15/2018,6/19/2019,9/28/2019,9/28/2019,2,MAINTENANCE,ELECTRICAL,6
"Sunday, March 31, 2019",953,Work Order Description - 953 - BR,BR,4.00,359578,WPLAN,TPS,1/17/2018,11/26/2019,9/7/2019,9/7/2019,3,MAINTENANCE,CONSTRUCTION,7
"Sunday, March 31, 2019",959,Work Order Description - 959 - CM,CM,4.00,56319,WSCHD,NORM-OPS,6/8/2018,7/7/2019,5/2/2020,5/2/2020,4,INTEGRITY,CONSTRUCTION,5
"Sunday, March 31, 2019",972,Work Order Description - 972 - CM,CM,3.00,29419,SCHD,TPS,9/6/2018,12/8/2019,7/13/2019,7/13/2019,3,MAINTENANCE,MECHANICAL,24
"Sunday, March 31, 2019",973,Work Order Description - 973 - CM,CM,3.00,29418,SCHD,TPS,9/6/2018,12/14/2019,7/13/2019,7/13/2019,3,MAINTENANCE,MECHANICAL,60
"Sunday, March 31, 2019",978,Work Order Description - 978 - PM,PM,3.00,57144,WSCHD,PACK-ISOL,4/30/2013,8/2/2019,6/20/2019,6/20/2019,2,MAINTENANCE,INSTRUMENTS,2
"Sunday, March 31, 2019",981,Work Order Description - 981 - CM,CM,4.00,418148,WSCHD,NORM-OPS,2/20/2019,1/9/2020,5/25/2019,5/26/2019,2,MAINTENANCE,MECHANICAL,11
"Sunday, March 31, 2019",990,Work Order Description - 990 - CM,CM,4.00,227221,WSCHD,NORM-OPS,5/9/2013,7/1/2019,4/27/2019,4/28/2019,3,MAINTENANCE,MECHANICAL,17
"Sunday, March 31, 2019",997,Work Order Description - 997 - CM,CM,4.00,674251,WSCHD,NORM-OPS,6/6/2013,10/30/2019,11/1/2019,11/1/2019,4,MAINTENANCE,MECHANICAL,4
"Sunday, March 31, 2019",1003,Work Order Description - 1003 - CM,CM,3.00,322378,WSCHD,TPS,6/9/2015,12/22/2018,5/2/2020,5/3/2020,2,MAINTENANCE,MECHANICAL,11
"Sunday, March 31, 2019",1005,Work Order Description - 1005 - CM,CM,3.00,327955,WSCHD,TPS,6/8/2018,5/27/2019,5/3/2020,5/4/2020,3,MAINTENANCE,MECHANICAL,14
"Sunday, March 31, 2019",1006,Work Order Description - 1006 - CM,CM,3.00,33874,WPLAN,TPS,7/26/2017,1/5/2019,5/2/2020,5/3/2020,2,MAINTENANCE,MECHANICAL,8
"Sunday, March 31, 2019",1007,Work Order Description - 1007 - CM,CM,3.00,245876,WSCHD,SYS-ISOL,6/8/2018,1/13/2020,5/3/2020,5/3/2020,2,MAINTENANCE,MECHANICAL,1
"Sunday, March 31, 2019",1008,Work Order Description - 1008 - CM,CM,3.00,323085,SCHD,TPS,1/30/2019,4/9/2019,5/3/2020,5/3/2020,2,MAINTENANCE,MECHANICAL,1
"Sunday, March 31, 2019",1010,Work Order Description - 1010 - CM,CM,3.00,327384,WSCHD,TPS,5/15/2013,6/14/2019,5/2/2020,5/3/2020,2,MAINTENANCE,MECHANICAL,11
"Sunday, March 31, 2019",1011,Work Order Description - 1011 - CM,CM,3.00,500939,WSCHD,NORM-OPS,5/15/2013,10/16/2019,5/25/2019,5/26/2019,2,MAINTENANCE,MECHANICAL,20
"Sunday, March 31, 2019",1012,Work Order Description - 1012 - CM,CM,3.00,322526,WSCHD,SYS-ISOL,5/15/2013,11/13/2019,5/2/2020,5/3/2020,2,MAINTENANCE,MECHANICAL,13
"Sunday, March 31, 2019",1014,Work Order Description - 1014 - CM,CM,3.00,500960,WSCHD,TPS,6/9/2015,6/15/2019,5/2/2020,5/3/2020,2,MAINTENANCE,MECHANICAL,8
"Sunday, March 31, 2019",1015,Work Order Description - 1015 - CM,CM,3.00,500944,WSCHD,TPS,6/9/2015,2/4/2019,5/2/2020,5/3/2020,2,MAINTENANCE,MECHANICAL,8
"Sunday, March 31, 2019",1016,Work Order Description - 1016 - CM,CM,4.00,214934,WPLAN,TPS,7/26/2017,7/6/2019,5/2/2020,5/3/2020,2,MAINTENANCE,MECHANICAL,7
